Predicted Deaths,Actual Deaths,Delta,RMSE
2535.9740399999987,2513.857,0.8798050167530899,71.00843567980708
1386.7185700000002,1322.571,4.850217493049547,71.00843567980708
1457.5131300000023,1351.429,7.849774571953261,71.00843567980708
1919.8557500000002,1908.857,0.576195597679669,71.00843567980708
1371.7601299999985,1310.286,4.691657393881829,71.00843567980708
1935.8699099999994,2014.143,-3.886173424627774,71.00843567980708
1892.6829400000001,2081.143,-9.055603579379211,71.00843567980708
1391.3416100000018,1371.143,1.4731220594789702,71.00843567980708
1187.4572699999997,1152.857,3.0012629493510192,71.00843567980708
1701.025690000003,1661.714,2.3657314074505575,71.00843567980708
1414.2500199999993,1322.0,6.97806505295002,71.00843567980708
1987.764449999997,2009.857,-1.0992100433017389,71.00843567980708
1718.7571300000025,1719.286,-0.03076102521614182,71.00843567980708
1184.67302,1154.143,2.6452545308510227,71.00843567980708
1209.017229999999,1199.143,0.8234405738097115,71.00843567980708
1700.2471499999995,1676.286,1.4294189654986922,71.00843567980708
1209.6956600000005,1145.429,5.610706556233555,71.00843567980708
1237.7343199999993,1239.857,-0.17120361461044523,71.00843567980708
2009.1827500000018,1835.143,9.48371598289625,71.00843567980708
1400.6388000000013,1364.714,2.6324050313839655,71.00843567980708
1322.580080000001,1328.286,-0.42957013775639946,71.00843567980708
1627.2672799999998,1613.0,0.8845182889026535,71.00843567980708
1915.2356200000022,1907.571,0.40179998542661255,71.00843567980708
1783.8400600000002,1818.0,-1.8789845984598337,71.00843567980708
1797.65427,1782.714,0.8380632002665631,71.00843567980708
2002.2099000000023,1857.714,7.778156379292097,71.00843567980708
1137.0402199999999,1154.714,-1.530576402468497,71.00843567980708
856.2216199999989,820.143,4.399064553376529,71.00843567980708
2086.3069400000013,2005.857,4.010751514190759,71.00843567980708
2137.485470000002,2062.714,3.6249072823475266,71.00843567980708
1995.985830000001,2085.0,-4.269264748201391,71.00843567980708
1551.3529599999986,1633.143,-5.008137070666895,71.00843567980708
1404.9015099999992,1330.857,5.563671378667976,71.00843567980708
2053.060199999997,2028.429,1.214299342002953,71.00843567980708
871.348689999999,932.143,-6.521993942989543,71.00843567980708
727.1860899999987,655.857,10.875707661883414,71.00843567980708
1565.105850000002,1594.714,-1.8566432601706624,71.00843567980708
2071.154369999999,2100.714,-1.4071230067491867,71.00843567980708
2141.7969000000016,2163.714,-1.0129388634541487,71.00843567980708
1477.195980000002,1326.0,11.402411764706034,71.00843567980708
