Predicted Deaths,Actual Deaths,Delta
1692.9843700000004,1688.143,0.2867867236365832
2294.694239999999,2279.143,0.6823284015087632
1204.6099300000005,1220.143,-1.2730532404807877
1203.2086699999993,1199.143,0.33904797009191334
1923.720060000002,1958.0,-1.7507630234932625
1001.5445800000001,654.429,53.04098381948235
1218.7887999999982,1239.857,-1.699244348340313
1409.7943299999993,1409.571,0.015843827660994056
1375.7929800000013,1371.143,0.3391316587694557
1544.0044000000003,1628.714,-5.201011350058985
1692.6114300000017,1663.714,1.7369229326676223
1658.3314799999998,1698.143,-2.3444150463182547
2544.5670899999986,2550.143,-0.21865087565683125
2235.979710000002,2159.571,3.5381429922888374
2439.2130799999977,2382.857,2.3650634511427984
1504.8984999999996,1466.714,2.6034046173964125
1461.445890000002,1544.0,-5.34676878238329
845.5431799999994,765.714,10.425456502035926
1203.7471800000003,1145.429,5.091383228467256
1665.5857899999996,1549.286,7.506670169355405
907.0272799999995,932.143,-2.694406330359245
1924.5099600000017,1907.571,0.8879858207113533
1146.158809999999,1154.714,-0.7408925500167963
1207.1313300000022,1243.714,-2.941405339169434
2043.5543899999973,2028.429,0.7456701713492163
2526.834089999999,2518.571,0.3280864426692363
1774.8072199999995,1772.571,0.12615686480256919
1336.477339999999,1312.143,1.8545493898149037
2237.2329100000024,2226.714,0.47239609577172936
1211.094110000002,1212.143,-0.08653186958947766
1295.3785200000004,1278.429,1.325808472742745
1290.9572999999987,1255.714,2.8066343132272737
2531.945499999999,2452.0,3.26042006525281
1594.9099200000014,1558.714,2.3221655800872694
1329.5370500000013,1305.571,1.8356757311552847
1668.2115299999996,1671.857,-0.21804915133294217
2488.718770000001,2485.0,0.14964869215295207
1692.2243600000008,1649.0,2.621246816252325
1669.3443600000005,1707.143,-2.214146090866408
982.2174500000002,655.857,49.760915870380316
